0.31, -0.0148996, -0.005615163, 6.295805, 0, 0.001976752017501868885164, 57228.93, -1058.528, -3.95279, 0.004901078, 0.07899523, 323.7076, 1.29873, 1.192726, 1.571966
 
0.32, -0.005019159, -0.005764158, 6.298435, 0, 0.001493809774242591257970, 57116.79, -1060.168, -3.95279, 0.004901078, 0.07899523, 323.4385, 1.298413, 1.192726, 1.571966
 
0.33, 0.004452865, -0.00581435, 6.300869, 0, 0.001006671161882234407245, 57005.02, -1061.775, -3.95279, 0.004901078, 0.07899523, 323.17, 1.298097, 1.192726, 1.571966
 
0.3399999, 0.01333302, -0.005769821, 6.303117, 0, 0.0005260090607519622632448, 56893.71, -1063.35, -3.95279, 0.004901078, 0.07899523, 322.9023, 1.297781, 1.192726, 1.571966
 
0.3499999, 0.02148454, -0.005636491, 6.305151, 0, 0.00006058453040303227072866, 56782.79, -1064.89, -3.95279, 0.004901078, 0.07899523, 322.6354, 1.297466, 1.192726, 1.571966
 
0.3599999, 0.02881451, -0.005421645, 6.30698, 0, -0.0003828553579361177187358328, 56672.21, -1066.396, -3.95279, 0.004901078, 0.07899523, 322.369, 1.297119, 1.192726, 1.571966
 
0.3699999, 0.03521809, -0.0051335, 6.308602, 0, -0.0007966060586523085155968, 56562.11, -1067.867, -3.95279, 0.004901078, 0.07899523, 322.1035, 1.296771, 1.192726, 1.571966
 
0.3799999, 0.04062984, -0.004781319, 6.309994, 0, -0.001174526225077554290410, 56452.36, -1069.299, -3.95279, 0.004901078, 0.07899523, 321.8387, 1.296425, 1.192726, 1.571966
 
0.3899999, 0.04500213, -0.004375021, 6.311157, 0, -0.00151117619313743504332, 56342.98, -1070.692, -3.95279, 0.004901078, 0.07899523, 321.5745, 1.296082, 1.192726, 1.571966
 
0.3999999, 0.04832066, -0.003925, 6.312094, 0, -0.0018027437274282511562557782, 56234.07, -1072.047, -3.95279, 0.004901078, 0.07899523, 321.3112, 1.295742, 1.192726, 1.571966
 
0.4099999, 0.05059419, -0.003441793, 6.312784, 0, -0.002046598926968689669892, 56125.51, -1073.359, -3.95279, 0.004901078, 0.07899523, 321.0484, 1.295405, 1.192726, 1.571966
 
0.4199999, 0.05182746, -0.002935851, 6.31323, 0, -0.0022398707832867583945305738, 56017.3, -1074.631, -3.95279, 0.004901078, 0.07899523, 320.7863, 1.29507, 1.192726, 1.571966
 
